file_name,OD
E10,0.11
E11,0.13
E12,0.12
E13,0.16
E14,0.18
E15,0.21
E16,0.24
E17,0.32
E20,0.11
E21,0.12
E22,0.14
E23,0.17
E24,0.19
E25,0.22
E26,0.25
E27,0.31
E30,0.11
E31,0.11
E32,0.12
E33,0.15
E34,0.16
E35,0.2
E36,0.23
E37,0.31
Ga10,0.11
Ga11,0.12
Ga12,0.17
Ga13,0.27
Ga14,0.44
Ga15,0.68
Ga16,0.92
Ga17,1.55
Ga20,0.11
Ga21,0.11
Ga22,0.16
Ga23,0.25
Ga24,0.4
Ga25,0.6
Ga26,0.88
Ga27,1.3
Ga30,0.11
Ga31,0.12
Ga32,0.16
Ga33,0.26
Ga34,0.44
Ga35,0.68
Ga36,1.04
Ga37,1.5
Gl10,0.11
Gl11,0.13
Gl12,0.18
Gl13,0.25
Gl14,0.36
Gl15,0.48
Gl16,0.72
Gl17,1
Gl20,0.11
Gl21,0.14
Gl22,0.18
Gl23,0.26
Gl24,0.36
Gl25,0.48
Gl26,0.68
Gl27,0.88
Gl30,0.11
Gl31,0.14
Gl32,0.18
Gl33,0.25
Gl34,0.36
Gl35,0.5
Gl36,0.72
Gl37,1.04
